,name,address,latitude,longitude,oid,geoid,state,county
0,Fisher Family Farm & Ranch,", Dallas , Texas 75220",32.8621631,-96.8726295,27590555914097,48113,48,113
1,Johnson's Backyard Garden,"9515 Hergotz Lane, Box E, Austin, Texas 78742",30.2369381,-97.6547686,27590377912845,48453,48,453
2,Tecolote Farm,"16301 Decker Lake Rd, Manor, Texas 78653",30.2606663,-97.5627895,27590377912845,48453,48,453
3,Munkebo Farm,"20826, Manor, Texas 78653",30.3407629,-97.5569456,27590377912845,48453,48,453
4,Green Gate Farms,"8310 Canoga Ave, Austin , Texas 78724",30.2857477,-97.6348801,27590377912845,48453,48,453
5,Plant It Forward,"4030 Willowbend Blvd, Houston, Texas 77025",29.6650135,-95.4433233,27590325947046,48201,48,201
6,For Oak Cliff Farmers Market,"907 East Ledbetter Drive, Dallas, TX, USA",32.6845583,-96.8117815,27590555914097,48113,48,113
7,Hope Farms First Wednesday Market,"10401 Scott Street, Houston, TX, USA",29.6467189,-95.368292,27590325947046,48201,48,201
8,Joppy Momma’s Farm and Friends CSA ,"7728 Carbondale Street, Dallas, TX, USA",32.716745,-96.750659,27590555914097,48113,48,113
9,Gather & Deliver,"25711 Hamilton Pool Rd, Dripping Springs, TX 78663",30.34486668666121,-98.15338311630924,27590377912845,48453,48,453
10,Verdegreens Farms,"1208 Bland Street, Houston, TX 77091",29.861408485966464,-95.4313085951988,27590325947046,48201,48,201
11,Walnut Hollow Farms,,32.7779765,-96.7962148,27590555914097,48113,48,113
12,Eden's Garden CSA Farm,"4710 Pioneer Road, Balch Springs, TX 75180",32.70616800184649,-96.6009738466707,27590555914097,48113,48,113
13,Thebarn.world,"2825 8th ave, Fort Worth, TX 76110",32.710394031699,-97.34347225043152,275901921448120,48439,48,439
