osm_id,code,fclass,name,county,COUNTYFP
42638984,7207,allotments,Sunshine Community Gardens,Travis,453
193018598,7207,allotments,,Harris,201
392540887,7229,farmland,"Sire, Inc.",Harris,201
452081013,7207,allotments,Emerald Wood Community Garden,Travis,453
462420690,7207,allotments,The Little Victory Community Garden & Compost Site,Bexar,029
463149246,7229,farmland,Bonton Farms,Dallas,113
469544348,7207,allotments,Deep Roots Garden,Travis,453
521947425,7207,allotments,,Travis,453
549493058,7207,allotments,,Harris,201
560779245,7207,allotments,Adelphi Acre Community Garden,Travis,453
584028523,7207,allotments,Festival Beach Community Garden,Travis,453
586407946,7207,allotments,,Travis,453
588733740,7229,farmland,Johnson's Backyard Garden,Travis,453
605033065,7207,allotments,,Harris,201
613594323,7207,allotments,,Harris,201
619273811,7207,allotments,,Travis,453
643879167,7207,allotments,,Harris,201
663641802,7207,allotments,,Bexar,029
668694649,7229,farmland,Tree Farm,Harris,201
701979523,7229,farmland,Florence Ranch,Dallas,113
702541181,7207,allotments,,Dallas,113
709063190,7207,allotments,,Tarrant,439
724411856,7207,allotments,,Travis,453
727660508,7207,allotments,All Saints' Community Garden,Tarrant,439
732228997,7207,allotments,,Harris,201
749919609,7207,allotments,Jefferson Community Garden,Bexar,029
781627685,7229,farmland,Heritage Farm,Harris,201
842036245,7207,allotments,,Travis,453
842036246,7207,allotments,,Travis,453
842036247,7207,allotments,,Travis,453
842036248,7207,allotments,,Travis,453
842036249,7207,allotments,,Travis,453
842036250,7207,allotments,,Travis,453
842036251,7207,allotments,,Travis,453
842036252,7207,allotments,,Travis,453
842036253,7207,allotments,,Travis,453
842036254,7207,allotments,,Travis,453
842036255,7207,allotments,,Travis,453
842036256,7207,allotments,,Travis,453
842036257,7207,allotments,,Travis,453
861099662,7229,farmland,Wunderlich Farm Interactive History Park,Harris,201
933082816,7207,allotments,Deep Eddy Community Garden,Travis,453
959889624,7207,allotments,,Travis,453
1119810654,7207,allotments,,Harris,201
1310473594,7207,allotments,,Bexar,029
1310881744,7207,allotments,International Refugee Community Garden,Bexar,029
1497487884,7229,farmland,Elmwood Farm,Dallas,113
